Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xGp90,xAp90,xG+xA,npxGp90,npxG+xA,Matches
171,Pascal Groß,de GER,"MF,FW",Brighton,28,1991,23,18,"1,492",2,4,0,0,2,0,0.12,0.24,0.36,0.12,0.36,1.8,1.8,4.9,0.11,0.3,0.41,0.11,0.41,Matches
343,Nicolas Pépé,ci CIV,FW,Arsenal,24,1995,24,17,"1,594",4,6,1,1,3,0,0.23,0.34,0.56,0.17,0.51,4.4,3.6,3.4,0.25,0.19,0.44,0.2,0.4,Matches
63,Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,28,22,"2,016",0,7,0,0,4,0,0,0.31,0.31,0,0.31,2,2,6.9,0.09,0.31,0.4,0.09,0.4,Matches
106,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,"2,107",4,5,1,1,3,0,0.17,0.21,0.38,0.13,0.34,5.2,4.5,4.6,0.22,0.2,0.42,0.19,0.39,Matches
156,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,25,21,"1,684",4,4,1,1,3,0,0.21,0.21,0.43,0.16,0.37,5.5,4.7,2.5,0.29,0.14,0.43,0.25,0.39,Matches
168,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,26,26,"2,334",7,6,0,1,7,0,0.27,0.23,0.5,0.27,0.5,5.5,4.7,5.1,0.21,0.2,0.41,0.18,0.38,Matches
177,Sébastien Haller,fr FRA,FW,West Ham,25,1994,27,24,"2,148",7,1,0,0,1,0,0.29,0.04,0.34,0.29,0.34,7,7,1.9,0.29,0.08,0.38,0.29,0.38,Matches
103,Troy Deeney,eng ENG,FW,Watford,31,1988,18,17,"1,506",6,2,2,3,3,0,0.36,0.12,0.48,0.24,0.36,6.2,3.9,2.4,0.37,0.14,0.51,0.24,0.38,Matches
311,Lucas Moura,br BRA,"FW,MF",Tottenham,26,1992,27,18,"1,683",4,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,5.4,5.4,1.7,0.29,0.09,0.38,0.29,0.38,Matches
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,29,28,"2,550",2,12,0,0,4,0,0.07,0.42,0.49,0.07,0.49,2.2,2.2,8.7,0.08,0.31,0.38,0.08,0.38,Matches
344,Andreas Pereira,br BRA,"MF,FW",Manchester Utd,23,1996,23,18,"1,453",1,3,0,0,3,0,0.06,0.19,0.25,0.06,0.25,2.3,2.3,3.6,0.14,0.22,0.37,0.14,0.37,Matches
219,Harry Kane,eng ENG,FW,Tottenham,26,1993,20,20,"1,780",11,2,2,2,2,0,0.56,0.1,0.66,0.46,0.56,6.9,5.4,1.8,0.35,0.09,0.44,0.27,0.36,Matches
310,Mason Mount,eng ENG,"MF,FW",Chelsea,20,1999,29,25,"2,302",6,4,0,0,3,0,0.23,0.16,0.39,0.23,0.39,5.8,5.8,3.3,0.23,0.13,0.36,0.23,0.36,Matches
71,Todd Cantwell,eng ENG,FW,Norwich City,21,1998,29,25,"2,080",6,2,0,0,4,0,0.26,0.09,0.35,0.26,0.35,5.6,5.6,2.6,0.24,0.11,0.36,0.24,0.36,Matches
476,Willian,br BRA,FW,Chelsea,30,1988,28,21,"1,929",5,5,1,1,3,0,0.23,0.23,0.47,0.19,0.42,3.6,2.9,4.6,0.17,0.21,0.38,0.13,0.35,Matches
446,Adama Traoré,es ESP,"FW,DF",Wolves,23,1996,28,22,"2,073",4,7,0,0,0,0,0.17,0.3,0.48,0.17,0.48,2.3,2.3,5.7,0.1,0.25,0.35,0.1,0.35,Matches
449,Leandro Trossard,be BEL,"FW,MF",Brighton,24,1994,23,16,"1,444",3,3,0,0,0,0,0.19,0.19,0.37,0.19,0.37,2.5,2.5,3,0.16,0.19,0.35,0.16,0.35,Matches
36,Ashley Barnes,at AUT,FW,Burnley,29,1989,19,17,"1,361",6,0,1,1,4,0,0.4,0,0.4,0.33,0.33,5.4,4.6,0.5,0.35,0.03,0.39,0.3,0.34,Matches
384,Allan Saint-Maximin,fr FRA,"MF,FW",Newcastle Utd,22,1997,18,15,"1,274",2,1,0,0,0,0,0.14,0.07,0.21,0.14,0.21,2.3,2.3,2.5,0.16,0.18,0.34,0.16,0.34,Matches
