Player,Squad,Age,Min,Gls,Ast,xGp90,xAp90,npxGp90
Pierre Højbjerg,Southampton,23,"2,447",0,1,0.08,0.07,0.08
Max Aarons,Norwich City,19,"2,430",0,1,0.02,0.13,0.02
Lewis Dunk,Brighton,27,"2,430",2,3,0.12,0.03,0.12
Jorginho,Chelsea,27,"2,015",4,2,0.16,0.1,0.05
Douglas Luiz,Aston Villa,21,"1,714",3,2,0.11,0.04,0.11
Philip Billing,Bournemouth,23,"2,166",1,1,0.08,0.05,0.08
Patrick van Aanholt,Crystal Palace,28,"1,894",3,0,0.09,0.09,0.05
Mason Holgate,Everton,22,"1,731",0,3,0.12,0.03,0.12
Sead Kolašinac,Arsenal,26,"1,107",0,2,0.06,0.08,0.06
Fabián Balbuena,West Ham,27,"1,080",1,0,0.14,0,0.14
Jack O'Connell,Sheffield Utd,25,"2,520",0,1,0.05,0.08,0.05
Davy Pröpper,Brighton,27,"2,340",1,2,0.05,0.08,0.05
Nathan Aké,Bournemouth,24,"2,015",2,1,0.1,0.03,0.1
Romain Saïss,Wolves,29,"1,985",2,1,0.1,0.02,0.1
Serge Aurier,Tottenham,26,"1,914",1,4,0.02,0.11,0.02
Martín Montoya,Brighton,28,"1,711",0,1,0.07,0.07,0.07
Tom Davies,Everton,21,"1,368",1,0,0.11,0.02,0.11
Cédric Soares,Southampton,27,"1,309",0,1,0.04,0.09,0.04
Ainsley Maitland-Niles,Arsenal,21,"1,210",0,2,0.02,0.11,0.02
Steven Alzate,Brighton,20,"1,183",0,0,0.07,0.05,0.07
Shane Duffy,Brighton,27,"1,071",1,0,0.13,0,0.13
Yerry Mina,Everton,24,"2,085",2,1,0.11,0.01,0.11
Cheikhou Kouyaté,Crystal Palace,29,"1,993",1,1,0.08,0.04,0.08
Luka Milivojevi?,Crystal Palace,28,"1,986",2,1,0.1,0.09,0.03
Diego Rico,Bournemouth,26,"1,795",0,2,0.02,0.1,0.02
Djibril Sidibé,Everton,27,"1,641",0,4,0.02,0.11,0.02
Scott McTominay,Manchester Utd,22,"1,549",4,1,0.08,0.04,0.08
Sean Longstaff,Newcastle Utd,21,"1,298",0,1,0.06,0.06,0.06
Sam Byram,Norwich City,25,"1,293",0,0,0.09,0.04,0.09
Calum Chambers,Arsenal,24,"1,103",1,1,0.05,0.06,0.05
James Tarkowski,Burnley,26,"2,610",1,1,0.05,0.05,0.05
Georginio Wijnaldum,Liverpool,28,"2,332",3,0,0.07,0.04,0.07
Aaron Wan-Bissaka,Manchester Utd,21,"2,331",0,2,0.01,0.09,0.01
Kenny McLean,Norwich City,27,"2,289",1,1,0.05,0.06,0.05
Étienne Capoue,Watford,31,"2,140",0,2,0.03,0.08,0.03
Aaron Cresswell,West Ham,29,"2,025",3,0,0.05,0.06,0.05
Isaac Hayden,Newcastle Utd,24,"1,968",1,1,0.04,0.07,0.04
Jefferson Lerma,Bournemouth,24,"1,945",1,2,0.04,0.07,0.04
Jeff Hendrick,Burnley,27,"1,935",2,2,0.08,0.04,0.08
Kyle Walker,Manchester City,29,"1,809",1,2,0.04,0.07,0.04
Jetro Willems,Newcastle Utd,25,"1,498",2,2,0.03,0.08,0.03
Virgil van Dijk,Liverpool,28,"2,610",4,1,0.07,0.03,0.07
Rúben Neves,Wolves,22,"2,281",2,1,0.05,0.05,0.05
David Luiz,Arsenal,32,"2,185",2,1,0.06,0.04,0.06
Adam Webster,Brighton,24,"2,016",3,1,0.05,0.05,0.05
Rodri,Manchester City,23,"1,957",3,1,0.04,0.06,0.04
Ciaran Clark,Newcastle Utd,29,"1,188",2,0,0.09,0,0.09
Benjamin Mendy,Manchester City,25,"1,116",0,2,0.01,0.09,0.01
José Holebas,Watford,35,"1,006",0,0,0.04,0.07,0.04
Jonny Evans,Leicester City,31,"2,576",1,1,0.08,0.01,0.08
George Baldock,Sheffield Utd,26,"2,520",2,3,0.02,0.07,0.02
Jack Cork,Burnley,30,"2,368",0,0,0.07,0.03,0.07
Wilfred Ndidi,Leicester City,22,"1,892",2,1,0.07,0.02,0.07
Federico Fernández,Newcastle Utd,30,"1,808",2,1,0.07,0.02,0.07
Michael Keane,Everton,26,"1,746",1,0,0.07,0.02,0.07
Mattéo Guendouzi,Arsenal,20,"1,591",0,1,0.03,0.06,0.03
Fabinho,Liverpool,25,"1,444",1,1,0.01,0.08,0.01
Erik Pieters,Burnley,30,"1,234",0,3,0.01,0.07,0.01
Séamus Coleman,Everton,30,"1,192",0,1,0.04,0.04,0.04
Lewis Cook,Bournemouth,22,"1,004",0,0,0.02,0.07,0.02
Harry Maguire,Manchester Utd,26,"2,610",1,1,0.06,0.02,0.06
Ça?lar Söyüncü,Leicester City,23,"2,520",1,1,0.08,0.01,0.08
Leander Dendoncker,Wolves,24,"2,280",2,0,0.05,0.02,0.05
Jonny Castro,Wolves,25,"2,197",1,1,0.04,0.03,0.04
Dan Burn,Brighton,27,"2,149",0,0,0.03,0.04,0.03
Mark Noble,West Ham,32,"2,147",4,1,0.12,0.06,0.02
Issa Diop,West Ham,22,"1,956",3,0,0.06,0.01,0.06
Frederic Guilbert,Aston Villa,24,"1,900",0,2,0.01,0.07,0.01
Jack Stephens,Southampton,25,"1,828",1,3,0.04,0.04,0.04
Ryan Fredericks,West Ham,26,"1,688",0,2,0,0.08,0
Harry Winks,Tottenham,23,"1,594",0,0,0.02,0.05,0.02
James Tomkins,Crystal Palace,30,"1,584",1,1,0.07,0.01,0.07
Jan Vertonghen,Tottenham,32,"1,544",1,1,0.03,0.05,0.03
Fabian Schär,Newcastle Utd,27,"1,397",2,0,0.08,0.01,0.08
Andreas Christensen,Chelsea,23,"1,257",0,0,0.04,0.04,0.04
James McCarthy,Crystal Palace,28,"1,172",0,0,0.02,0.05,0.02
Ben Mee,Burnley,29,"2,610",0,1,0.05,0.02,0.05
Tyrone Mings,Aston Villa,26,"2,003",2,1,0.04,0.02,0.04
Alexander Tettey,Norwich City,33,"1,791",1,1,0.03,0.04,0.03
Sokratis Papastathopoulos,Arsenal,31,"1,697",2,0,0.06,0.01,0.06
Christian Kabasele,Watford,28,"1,574",0,1,0.05,0.02,0.05
Adam Smith,Bournemouth,28,"1,560",0,1,0.03,0.04,0.03
Kiko Femenía,Watford,28,"1,526",0,0,0.01,0.07,0.01
Matthew Lowton,Burnley,30,"1,350",0,1,0,0.07,0
Luke Shaw,Manchester Utd,24,"1,235",0,0,0.03,0.04,0.03
Jannik Vestergaard,Southampton,26,"1,136",1,0,0.06,0.01,0.06
Declan Rice,West Ham,20,"2,610",0,2,0.02,0.04,0.02
John Egan,Sheffield Utd,26,"2,419",0,0,0.05,0,0.05
Toby Alderweireld,Tottenham,30,"2,418",1,2,0.03,0.03,0.03
Angelo Ogbonna,West Ham,31,"2,160",2,0,0.06,0,0.06
Dale Stephens,Brighton,30,"1,944",0,1,0.02,0.03,0.02
Gary Cahill,Crystal Palace,33,"1,800",0,1,0.05,0.01,0.05
Martin Kelly,Crystal Palace,29,"1,550",0,1,0.01,0.05,0.01
Björn Engels,Aston Villa,24,"1,447",1,0,0.05,0.01,0.05
Charlie Taylor,Burnley,25,"1,376",0,0,0,0.06,0
Adam Masina,Watford,25,"1,222",1,0,0.02,0.04,0.02
Antonio Rüdiger,Chelsea,26,"1,125",2,0,0.04,0.02,0.04
Chris Basham,Sheffield Utd,31,"2,440",0,0,0.02,0.03,0.02
Fernandinho,Manchester City,34,"1,997",0,0,0.04,0.01,0.04
Granit Xhaka,Arsenal,26,"1,908",0,1,0.01,0.04,0.01
Steve Cook,Bournemouth,28,"1,849",1,0,0.03,0.01,0.03
Craig Dawson,Watford,29,"1,549",0,0,0.05,0,0.05
Fikayo Tomori,Chelsea,21,"1,293",1,0,0.04,0.01,0.04
Grant Hanley,Norwich City,27,"1,262",0,0,0.04,0,0.04
Adrian Mariappa,Watford,32,"1,226",0,0,0.02,0.03,0.02
Ezri Konsa,Aston Villa,21,"1,199",0,2,0.05,0.01,0.05
Morgan Schneiderlin,Everton,29,"1,003",0,0,0.03,0.01,0.03
Marvelous Nakamba,Aston Villa,25,"1,634",0,0,0.01,0.03,0.01
Jamal Lewis,Norwich City,21,"1,498",1,0,0.02,0.02,0.02
Oriol Romeu,Southampton,27,"1,308",0,0,0.01,0.02,0.01
Phil Bardsley,Burnley,34,"1,260",0,1,0.01,0.02,0.01
Tom Trybull,Norwich City,26,"1,029",0,0,0.04,0,0.04
Jan Bednarek,Southampton,23,"2,428",1,0,0.03,0,0.03
Victor Lindelöf,Manchester Utd,25,"2,340",1,0,0.01,0.02,0.01
Davinson Sánchez,Tottenham,23,"1,890",0,0,0.03,0,0.03
Ben Godfrey,Norwich City,21,"1,835",0,0,0.03,0,0.03
Kurt Zouma,Chelsea,24,"1,803",0,0,0.03,0,0.03
Jamaal Lascelles,Newcastle Utd,25,"1,632",1,0,0.02,0.01,0.02
Christoph Zimmermann,Norwich City,26,"1,296",0,1,0.03,0,0.03
Fabian Delph,Everton,29,"1,189",0,0,0,0.03,0
Willy Boly,Wolves,28,"1,169",0,1,0,0.03,0
Conor Coady,Wolves,26,"2,610",0,0,0,0.02,0
Nick Pope,Burnley,27,"2,610",0,0,0,0.02,0
Alisson,Liverpool,26,"1,734",0,1,0,0.02,0
Paulo Gazzaniga,Tottenham,27,"1,612",0,0,0,0.02,0
Joel Ward,Crystal Palace,29,"1,573",0,0,0.01,0.01,0.01
Kasper Schmeichel,Leicester City,32,"2,610",0,0,0,0.01,0
Craig Cathcart,Watford,30,"2,355",0,0,0,0,0
Joe Gomez,Liverpool,22,"1,276",0,0,0,0.01,0
Paul Dummett,Newcastle Utd,27,"1,229",0,0,0,0.01,0
Martin Dúbravka,Newcastle Utd,30,"2,610",0,0,0,0,0
Ben Foster,Watford,36,"2,610",0,0,0,0,0
David de Gea,Manchester Utd,28,"2,610",0,0,0,0,0
Rui Patrício,Wolves,31,"2,610",0,0,0,0,0
Jordan Pickford,Everton,25,"2,610",0,0,0,0,0
Mathew Ryan,Brighton,27,"2,610",0,0,0,0,0
Bernd Leno,Arsenal,27,"2,520",0,0,0,0,0
Aaron Ramsdale,Bournemouth,21,"2,520",0,1,0,0,0
Vicente Guaita,Crystal Palace,32,"2,430",0,0,0,0,0
Dean Henderson,Sheffield Utd,22,"2,430",0,0,0,0,0
Tim Krul,Norwich City,31,"2,430",0,0,0,0,0
Kepa Arrizabalaga,Chelsea,24,"2,250",0,0,0,0,0
Ederson,Manchester City,25,"2,171",0,0,0,0,0
Tom Heaton,Aston Villa,33,"1,795",0,0,0,0,0
Alex McCarthy,Southampton,29,"1,710",0,0,0,0,0
?ukasz Fabia?ski,West Ham,34,"1,309",0,0,0,0,0
